Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,ID,Item_Outlet_Sales
5.925,Regular,0.161466534,Dairy,45.5086,1998,,Tier 3,Grocery Store,FDE51OUT010,178.4344
,Regular,0.072221801,Canned,43.6454,1985,Small,Tier 1,Grocery Store,FDC14OUT019,125.8362
19.25,Low Fat,0.170348551,Dairy,55.7956,1998,,Tier 3,Grocery Store,FDV38OUT010,163.7868
18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,2009,Medium,Tier 3,Supermarket Type2,NCS17OUT018,2741.7644
18.7,Low Fat,0,Snack Foods,256.6672,2009,Medium,Tier 3,Supermarket Type2,FDP33OUT018,3068.0064
17.85,Low Fat,0,Breads,93.1436,2002,,Tier 2,Supermarket Type1,FDO23OUT045,2174.5028
17.5,Low Fat,0.097904029,Soft Drinks,174.8738,1997,Small,Tier 1,Supermarket Type1,DRH01OUT046,2085.2856
10,Low Fat,0.089291137,Health and Hygiene,146.7102,1999,Medium,Tier 1,Supermarket Type1,NCX29OUT049,3791.0652
,Regular,0.059511812,Fruits and Vegetables,128.0678,1985,Medium,Tier 3,Supermarket Type3,FDV20OUT027,2797.6916
8.85,Regular,0.113123893,Soft Drinks,122.5388,2009,Medium,Tier 3,Supermarket Type2,DRZ11OUT018,1609.9044
,Regular,0.123111453,Snack Foods,36.9874,1985,Medium,Tier 3,Supermarket Type3,FDX10OUT027,388.1614
,Low Fat,0.026480954,Snack Foods,87.6198,1985,Medium,Tier 3,Supermarket Type3,FDB34OUT027,2180.495
13.35,Low Fat,0.102511504,Dairy,230.6352,1997,Small,Tier 1,Supermarket Type1,FDU02OUT046,3435.528
9.8,Low Fat,0.02681843,Meat,126.002,1987,High,Tier 3,Supermarket Type1,FDK43OUT013,2150.534
13.6,Low Fat,0.117818348,Snack Foods,192.9136,1999,Medium,Tier 1,Supermarket Type1,FDA46OUT049,2527.3768
21.35,Low Fat,0.069102831,Canned,259.9278,2009,Medium,Tier 3,Supermarket Type2,FDC02OUT018,6768.5228
12.15,Regular,0.042277867,Canned,126.5046,1987,High,Tier 3,Supermarket Type1,FDL50OUT013,373.5138
6.42,LF,0.089498926,Dairy,178.1002,1998,,Tier 3,Grocery Store,FDM39OUT010,358.2004
19.6,Low Fat,0,Health and Hygiene,153.3024,2002,,Tier 2,Supermarket Type1,NCP05OUT045,2428.8384
10,Low Fat,0.025879577,Canned,265.2226,2002,,Tier 2,Supermarket Type1,FDV49OUT045,5815.0972
15.85,Regular,0.121632721,Baking Goods,60.622,1997,Small,Tier 1,Supermarket Type1,FDL12OUT046,2576.646
,Regular,0.255394896,Dairy,196.8794,1985,Small,Tier 1,Grocery Store,FDS02OUT019,780.3176
7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,1997,Small,Tier 1,Supermarket Type1,NCL17OUT046,3134.5864
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,1987,High,Tier 3,Supermarket Type1,FDM40OUT013,850.8924
9.895,Regular,0.028696932,Canned,117.0492,1987,High,Tier 3,Supermarket Type1,FDR13OUT013,810.9444
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,2007,,Tier 2,Supermarket Type1,FDA43OUT017,3121.2704
12.15,Low Fat,0.028760013,Household,151.4708,2007,,Tier 2,Supermarket Type1,NCP18OUT017,4815.0656
7.905,Low Fat,0.010053105,Snack Foods,249.0408,2009,Medium,Tier 3,Supermarket Type2,FDK21OUT018,6258.52
9.195,Low Fat,0.048157338,Household,106.1622,2002,,Tier 2,Supermarket Type1,NCX54OUT045,2117.244
8.365,Low Fat,0.071958197,Hard Drinks,38.0506,1999,Medium,Tier 1,Supermarket Type1,DRK35OUT049,796.9626
15.1,Low Fat,0.173481304,Snack Foods,194.511,1997,Small,Tier 1,Supermarket Type1,FDY21OUT046,4910.275
,Low Fat,0.061082177,Canned,180.0344,1985,Small,Tier 1,Grocery Store,FDI26OUT019,892.172
10,Low Fat,0,Fruits and Vegetables,246.9144,2009,Medium,Tier 3,Supermarket Type2,FDM20OUT018,3185.1872
7.97,Regular,0.040071131,Meat,87.3514,2002,,Tier 2,Supermarket Type1,FDV27OUT045,1062.6168
,Low Fat,0.012090074,Fruits and Vegetables,38.2848,1985,Medium,Tier 3,Supermarket Type3,FDF09OUT027,484.7024
,Regular,0.15028599,Frozen Foods,51.0692,1985,Small,Tier 1,Grocery Store,FDY40OUT019,147.8076
,Low Fat,0.026015519,Snack Foods,255.8356,1985,Medium,Tier 3,Supermarket Type3,FDY45OUT027,2543.356
17.7,LF,0.195068226,Snack Foods,185.4266,1998,,Tier 3,Grocery Store,FDC46OUT010,184.4266
19.35,Low Fat,0.033082215,Meat,172.5738,2004,Small,Tier 2,Supermarket Type1,FDH19OUT035,4865.6664
13.65,Regular,0.078946455,Dairy,186.024,2002,,Tier 2,Supermarket Type1,FDZ03OUT045,1118.544
17.6,Low Fat,0.041700756,Soft Drinks,164.8526,2002,,Tier 2,Supermarket Type1,DRH37OUT045,2302.3364
8.645,Low Fat,0.143422643,Health and Hygiene,95.841,1997,Small,Tier 1,Supermarket Type1,NCI17OUT046,2027.361
15.6,Regular,0.105296072,Snack Foods,170.1764,1997,Small,Tier 1,Supermarket Type1,FDJ58OUT046,3435.528
15.85,Regular,0.121531501,Baking Goods,59.222,1987,High,Tier 3,Supermarket Type1,FDL12OUT013,599.22
18.25,Low Fat,0,Starchy Foods,164.7526,2002,,Tier 2,Supermarket Type1,FDH35OUT045,4604.6728
7.855,Low Fat,0.011324862,Canned,189.6188,2007,,Tier 2,Supermarket Type1,FDG02OUT017,2285.0256
7.825,low fat,0.186357148,Household,254.3698,1999,Medium,Tier 1,Supermarket Type1,NCZ18OUT049,5580.7356
8.39,Regular,0.024205661,Frozen Foods,114.0176,1997,Small,Tier 1,Supermarket Type1,FDC29OUT046,2290.352
12.85,Low Fat,0.033230816,Snack Foods,172.3422,1999,Medium,Tier 1,Supermarket Type1,FDQ10OUT049,1207.0954
,Low Fat,0.113720344,Baking Goods,89.9804,1985,Small,Tier 1,Grocery Store,FDN48OUT019,643.1628
19,Low Fat,0.112556507,Frozen Foods,104.9622,2007,,Tier 2,Supermarket Type1,FDL04OUT017,1587.933
5.905,Low Fat,0,Canned,222.5456,2002,,Tier 2,Supermarket Type1,FDV25OUT045,5305.0944
7.76,Low Fat,0.059352241,Snack Foods,101.87,1997,Small,Tier 1,Supermarket Type1,FDD58OUT046,1697.79
11.8,reg,0.014087057,Frozen Foods,180.3344,1997,Small,Tier 1,Supermarket Type1,FDN04OUT046,1427.4752
16.75,low fat,0.045230944,Snack Foods,187.9556,2009,Medium,Tier 3,Supermarket Type2,FDV45OUT018,4693.89
,Low Fat,0.293417759,Household,194.6136,1985,Small,Tier 1,Grocery Store,NCL18OUT019,583.2408
,Regular,0.031382044,Baking Goods,171.3764,1985,Medium,Tier 3,Supermarket Type3,FDR12OUT027,3091.9752
15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,2007,,Tier 2,Supermarket Type1,FDG20OUT017,2479.4392
6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,2004,Small,Tier 2,Supermarket Type1,FDZ55OUT035,2716.464
,Regular,0.039057677,Breakfast,155.963,1985,Medium,Tier 3,Supermarket Type3,FDQ49OUT027,3285.723
6.305,Regular,0.123115764,Snack Foods,95.6436,1997,Small,Tier 1,Supermarket Type1,FDN33OUT046,661.8052
20.85,Low Fat,0.039624006,Meat,117.2808,1999,Medium,Tier 1,Supermarket Type1,FDN27OUT049,1523.3504
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,1998,,Tier 3,Grocery Store,FDW20OUT010,369.519
8.895,Low Fat,0.105274111,Dairy,39.9138,1999,Medium,Tier 1,Supermarket Type1,DRG27OUT049,690.4346
19.6,Low Fat,0.033970195,Soft Drinks,55.1614,2002,,Tier 2,Supermarket Type1,DRI25OUT045,1381.535
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,2004,Small,Tier 2,Supermarket Type1,FDA44OUT035,622.523
9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,2004,Small,Tier 2,Supermarket Type1,NCR17OUT035,1274.3412
,Low Fat,0.009714595,Frozen Foods,120.0414,1985,Small,Tier 1,Grocery Store,FDU04OUT019,487.3656
12.15,Low Fat,0.131383762,Frozen Foods,246.046,1999,Medium,Tier 1,Supermarket Type1,FDF41OUT049,1231.73
8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,2004,Small,Tier 2,Supermarket Type1,FDB56OUT035,3755.112
,Low Fat,0.028459761,Household,149.9708,1985,Medium,Tier 3,Supermarket Type3,NCP18OUT027,4363.6532
8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,1997,Small,Tier 1,Supermarket Type1,FDB56OUT046,1314.2892
13.3,Low Fat,0.063695084,Frozen Foods,151.0708,2002,,Tier 2,Supermarket Type1,FDT28OUT045,1805.6496
,Regular,0.045797829,Snack Foods,178.5344,1985,Medium,Tier 3,Supermarket Type3,FDD10OUT027,2854.9504
8.31,Regular,0.115857223,Snack Foods,179.1028,1999,Medium,Tier 1,Supermarket Type1,FDW57OUT049,3896.2616
16.75,Regular,0.024832806,Soft Drinks,38.7822,1987,High,Tier 3,Supermarket Type1,DRB48OUT013,667.7974
19.75,Low Fat,0.034027909,Snack Foods,212.0902,2009,Medium,Tier 3,Supermarket Type2,FDP09OUT018,3185.853
17.1,Regular,0.0467696,Canned,141.1838,1987,High,Tier 3,Supermarket Type1,FDH14OUT013,2247.7408
10.5,Regular,0.116576702,Baking Goods,163.121,1987,High,Tier 3,Supermarket Type1,FDA47OUT013,1794.331
6.635,Regular,0,Baking Goods,121.3098,2002,,Tier 2,Supermarket Type1,FDG12OUT045,2530.7058
,low fat,0.278974075,Soft Drinks,225.372,1985,Small,Tier 1,Grocery Store,DRE60OUT019,679.116
14.15,Low Fat,0.035913805,Soft Drinks,41.4138,1987,High,Tier 3,Supermarket Type1,DRK49OUT013,812.276
13.3,Low Fat,0.079806266,Dairy,232.53,1997,Small,Tier 1,Supermarket Type1,FDD03OUT046,699.09
8.89,low fat,0.005505481,Frozen Foods,102.4016,2007,,Tier 2,Supermarket Type1,FDS52OUT017,2732.4432
,Regular,0.064625342,Meat,176.937,1985,Small,Tier 1,Grocery Store,FDW39OUT019,176.437
,Low Fat,0.071636937,Snack Foods,121.7098,1985,Medium,Tier 3,Supermarket Type3,FDX34OUT027,4097.3332
9.1,Regular,0,Breads,173.2054,2002,,Tier 2,Supermarket Type1,FDV11OUT045,3151.8972
7.5,Low Fat,0.032677678,Frozen Foods,239.0906,1999,Medium,Tier 1,Supermarket Type1,FDD17OUT049,5942.265
16.85,Regular,0.160760054,Frozen Foods,192.4478,2007,,Tier 2,Supermarket Type1,FDZ16OUT017,4843.695
7.485,Low Fat,0.06911065,Snack Foods,109.0228,2004,Small,Tier 2,Supermarket Type1,FDZ46OUT035,2542.0244
11.6,Low Fat,0.041177505,Soft Drinks,140.3154,2007,,Tier 2,Supermarket Type1,DRA12OUT017,2552.6772
11.65,Low Fat,0.040081193,Snack Foods,227.0694,2009,Medium,Tier 3,Supermarket Type2,FDY58OUT018,1141.847
13,Low Fat,0.035307322,Household,47.5034,2007,,Tier 2,Supermarket Type1,NCF19OUT017,680.4476
12.65,LF,0.063017847,Soft Drinks,159.0578,2002,,Tier 2,Supermarket Type1,DRJ13OUT045,2085.9514
20.25,Regular,0.171938781,Canned,92.512,1998,,Tier 3,Grocery Store,FDB14OUT010,186.424
8.6,Regular,0.040197932,Canned,190.153,2004,Small,Tier 2,Supermarket Type1,FDJ38OUT035,3036.048
12.6,Low Fat,0.049058014,Breads,62.7194,2007,,Tier 2,Supermarket Type1,FDW11OUT017,866.8716
17.7,Low Fat,0.01161096,Frozen Foods,95.041,2004,Small,Tier 2,Supermarket Type1,FDL40OUT035,868.869
14.15,Low Fat,0.183507295,Soft Drinks,82.4276,1997,Small,Tier 1,Supermarket Type1,DRI49OUT046,1137.1864
19.25,Low Fat,0.102349519,Dairy,52.7956,2007,,Tier 2,Supermarket Type1,FDV38OUT017,928.1252
8.88,Low Fat,0.086708987,Hard Drinks,151.7682,1987,High,Tier 3,Supermarket Type1,DRG23OUT013,762.341
20.5,Low Fat,0.032835147,Household,40.2822,2002,,Tier 2,Supermarket Type1,NCP30OUT045,707.0796
,Low Fat,0.033809913,Canned,180.5976,1985,Medium,Tier 3,Supermarket Type3,FDY25OUT027,7968.2944
13.5,Low Fat,0.07266912,Household,160.292,1997,Small,Tier 1,Supermarket Type1,NCH54OUT046,1438.128
,Low Fat,0.144338493,Health and Hygiene,224.4404,1985,Medium,Tier 3,Supermarket Type3,NCR53OUT027,6976.2524
8.89,Low Fat,0.009163216,Frozen Foods,101.7016,1998,,Tier 3,Grocery Store,FDS52OUT010,101.2016
7.855,Low Fat,0.011307038,Canned,188.5188,2009,Medium,Tier 3,Supermarket Type2,FDG02OUT018,952.094
7.235,Low Fat,0.076855628,Household,116.0492,1997,Small,Tier 1,Supermarket Type1,NCO26OUT046,1969.4364
,Low Fat,0.059956876,Starchy Foods,165.4526,1985,Medium,Tier 3,Supermarket Type3,FDH35OUT027,5262.4832
6.92,Low Fat,0.038532062,Dairy,60.5852,2002,,Tier 2,Supermarket Type1,FDB51OUT045,1314.2892
9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,2007,,Tier 2,Supermarket Type1,FDX44OUT017,535.3032
18.5,Low Fat,0.056816465,Others,132.1284,1998,,Tier 3,Grocery Store,NCN07OUT010,263.6568
8.02,Low Fat,0.019866705,Household,154.5972,2004,Small,Tier 2,Supermarket Type1,NCC31OUT035,1402.1748
9.195,Low Fat,0.048331717,Household,105.1622,2007,,Tier 2,Supermarket Type1,NCX54OUT017,1693.7952
12.8,Low Fat,0.091221855,Others,105.5938,2002,,Tier 2,Supermarket Type1,NCO55OUT045,2143.876
16.6,Low Fat,0.027622076,Household,177.6344,1999,Medium,Tier 1,Supermarket Type1,NCC30OUT049,2676.516
14,Regular,0,Frozen Foods,53.064,2004,Small,Tier 2,Supermarket Type1,FDI16OUT035,905.488
18.6,Low Fat,0.039355947,Frozen Foods,246.3802,1999,Medium,Tier 1,Supermarket Type1,FDP16OUT049,7370.406
16,Low Fat,0.060836524,Starchy Foods,226.8404,2004,Small,Tier 2,Supermarket Type1,FDB11OUT035,6301.1312
17.6,Low Fat,0.082316506,Health and Hygiene,160.692,2004,Small,Tier 2,Supermarket Type1,NCB06OUT035,1597.92
21.25,Low Fat,0.155350299,Snack Foods,178.237,2004,Small,Tier 2,Supermarket Type1,FDA45OUT035,529.311
7.235,Low Fat,0.076841095,Household,117.5492,2004,Small,Tier 2,Supermarket Type1,NCO26OUT035,1969.4364
14.6,Low Fat,0.151419185,Soft Drinks,50.3692,2007,,Tier 2,Supermarket Type1,DRJ25OUT017,1034.6532
13.85,reg,0.026001976,Frozen Foods,161.521,2009,Medium,Tier 3,Supermarket Type2,FDR28OUT018,1794.331
13.65,Regular,0.073209447,Frozen Foods,197.6426,2009,Medium,Tier 3,Supermarket Type2,FDI04OUT018,2768.3964
,Low Fat,0.041683481,Soft Drinks,31.29,1985,Medium,Tier 3,Supermarket Type3,DRK12OUT027,898.83
7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,1997,Small,Tier 1,Supermarket Type1,FDX20OUT046,3169.208
18.35,Low Fat,0.014081156,Household,223.5746,2009,Medium,Tier 3,Supermarket Type2,NCI18OUT018,3589.9936
5.465,Regular,0,Baking Goods,132.5626,2009,Medium,Tier 3,Supermarket Type2,FDB36OUT018,262.3252
18.6,Low Fat,0.152918384,Breakfast,99.8358,2007,,Tier 2,Supermarket Type1,FDN13OUT017,1910.1802
13.85,Low Fat,0.030969274,Soft Drinks,140.9154,2007,,Tier 2,Supermarket Type1,DRD24OUT017,1701.7848
14,Regular,0.060376776,Frozen Foods,154.5656,1987,High,Tier 3,Supermarket Type1,FDQ28OUT013,2471.4496
14,Regular,0.04192285,Snack Foods,54.764,1987,High,Tier 3,Supermarket Type1,FDM22OUT013,1331.6
,Low Fat,0.077367431,Fruits and Vegetables,97.0094,1985,Medium,Tier 3,Supermarket Type3,FDR07OUT027,1808.9786
5.905,Low Fat,0.045838211,Canned,222.5456,2009,Medium,Tier 3,Supermarket Type2,FDV25OUT018,3315.684
7.27,Low Fat,0.071077939,Soft Drinks,114.2518,1997,Small,Tier 1,Supermarket Type1,DRF49OUT046,2618.5914
6.155,Regular,0.094659871,Meat,214.556,1997,Small,Tier 1,Supermarket Type1,FDW51OUT046,2769.728
19.5,Regular,0.077608838,Soft Drinks,233.4958,2007,,Tier 2,Supermarket Type1,DRL01OUT017,5375.0034
15.2,Low Fat,0.021327477,Canned,216.8824,2007,,Tier 2,Supermarket Type1,FDP25OUT017,2838.9712
12.15,Regular,0.042485444,Canned,125.0046,2009,Medium,Tier 3,Supermarket Type2,FDL50OUT018,1743.0644
,Low Fat,0.025578526,Household,198.8084,1985,Medium,Tier 3,Supermarket Type3,NCB30OUT027,5555.4352
12.6,Low Fat,0.0489808,Breads,61.9194,2009,Medium,Tier 3,Supermarket Type2,FDW11OUT018,619.194
14.5,Low Fat,0.019471688,Others,164.821,2004,Small,Tier 2,Supermarket Type1,NCM43OUT035,2120.573
16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,2007,,Tier 2,Supermarket Type1,FDK44OUT017,3823.0236
11.8,Regular,0.057373797,Meat,151.4366,1987,High,Tier 3,Supermarket Type1,FDM15OUT013,1360.2294
13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,1987,High,Tier 3,Supermarket Type1,FDS31OUT013,3969.4996
17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,1998,,Tier 3,Grocery Store,FDI32OUT010,345.5502
17.85,LF,0,Breads,196.5794,1998,,Tier 3,Grocery Store,FDR47OUT010,585.2382
12.3,Regular,0.064750025,Starchy Foods,92.6804,2002,,Tier 2,Supermarket Type1,FDB35OUT045,1010.6844
11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,1998,,Tier 3,Grocery Store,NCU05OUT010,161.1236
,Regular,0.191013663,Soft Drinks,42.1112,1985,Small,Tier 1,Grocery Store,DRY23OUT019,42.6112
11.1,Low Fat,0.176573035,Baking Goods,157.4604,2002,,Tier 2,Supermarket Type1,FDO24OUT045,3010.7476
,Regular,0.060134441,Frozen Foods,153.0656,1985,Medium,Tier 3,Supermarket Type3,FDQ28OUT027,6024.1584
11.3,Low Fat,0.007294652,Meat,198.1426,2002,,Tier 2,Supermarket Type1,FDV39OUT045,988.713
,Low Fat,0.128478462,Health and Hygiene,117.944,1985,Small,Tier 1,Grocery Store,NCO17OUT019,239.688
5.75,Regular,0.075107656,Dairy,112.8176,1987,High,Tier 3,Supermarket Type1,FDU50OUT013,1374.2112
,Regular,0.049381406,Baking Goods,226.8062,1985,Medium,Tier 3,Supermarket Type3,FDT12OUT027,4739.8302
11.35,Regular,0.045165796,Snack Foods,100.0016,2009,Medium,Tier 3,Supermarket Type2,FDK58OUT018,1012.016
,Regular,0.09415375,Fruits and Vegetables,165.7526,1985,Small,Tier 1,Grocery Store,FDO08OUT019,657.8104
14,Low Fat,0.028907832,Health and Hygiene,130.431,1999,Medium,Tier 1,Supermarket Type1,NCW29OUT049,778.986
19.75,Regular,0.018059621,Frozen Foods,179.766,2002,,Tier 2,Supermarket Type1,FDE04OUT045,2336.958
6.525,Low Fat,0.090436094,Household,85.0882,1999,Medium,Tier 1,Supermarket Type1,NCB19OUT049,2233.0932
10.3,Low Fat,0.146399712,Meat,103.9648,1999,Medium,Tier 1,Supermarket Type1,FDV15OUT049,1661.8368
5.78,Regular,0.074264356,Snack Foods,264.7568,1999,Medium,Tier 1,Supermarket Type1,FDL58OUT049,4745.8224
11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,2002,,Tier 2,Supermarket Type1,FDA08OUT045,3124.5994
16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,2009,Medium,Tier 3,Supermarket Type2,FDT43OUT018,467.3916
,Low Fat,0.01561108,Household,182.5976,1985,Medium,Tier 3,Supermarket Type3,NCX06OUT027,5070.7328
10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,1997,Small,Tier 1,Supermarket Type1,FDT20OUT046,540.6296
19,Regular,0.097313129,Frozen Foods,48.0718,1997,Small,Tier 1,Supermarket Type1,FDB41OUT046,992.7078
14.6,Low Fat,0.059582996,Others,238.8538,1999,Medium,Tier 1,Supermarket Type1,NCN55OUT049,6008.845
,Regular,0.098663652,Dairy,62.9194,1985,Medium,Tier 3,Supermarket Type3,FDE40OUT027,2105.2596
,reg,0.101338651,Canned,232.63,1985,Medium,Tier 3,Supermarket Type3,FDX49OUT027,5359.69
18.75,Low Fat,0.052146456,Health and Hygiene,104.628,2002,,Tier 2,Supermarket Type1,NCM53OUT045,745.696
5.26,Regular,0.041764487,Baking Goods,161.8868,2004,Small,Tier 2,Supermarket Type1,FDE36OUT035,3275.736
18.25,Low Fat,0.054344186,Snack Foods,140.2154,2002,,Tier 2,Supermarket Type1,FDN57OUT045,1701.7848
,Low Fat,0.078362484,Baking Goods,177.937,1985,Medium,Tier 3,Supermarket Type3,FDI24OUT027,6704.606
15.1,Low Fat,0.052339069,Meat,242.7512,1997,Small,Tier 1,Supermarket Type1,FDI19OUT046,4119.9704
15.5,Regular,0.042464962,Baking Goods,81.5934,1998,,Tier 3,Grocery Store,FDF24OUT010,327.5736
13.65,Low Fat,0.065732883,Frozen Foods,45.7402,1999,Medium,Tier 1,Supermarket Type1,FDG52OUT049,780.9834
16.1,LF,0.023625114,Soft Drinks,189.3846,2002,,Tier 2,Supermarket Type1,DRF36OUT045,3630.6074
,Regular,0.051643608,Snack Foods,107.3622,1985,Small,Tier 1,Grocery Store,FDS45OUT019,317.5866
12.85,Low Fat,0.165694219,Frozen Foods,39.7164,1998,,Tier 3,Grocery Store,FDX40OUT010,231.6984
9.5,LF,0.041878397,Soft Drinks,32.99,2004,Small,Tier 2,Supermarket Type1,DRK12OUT035,133.16
13.8,Low Fat,0.058091482,Dairy,245.1802,2004,Small,Tier 2,Supermarket Type1,DRC27OUT035,5650.6446
5.78,Regular,0,Snack Foods,263.7568,2007,,Tier 2,Supermarket Type1,FDL58OUT017,2636.568
19.7,Low Fat,0.026903714,Household,96.0726,2002,,Tier 2,Supermarket Type1,NCD30OUT045,1272.3438
14.65,Low Fat,0,Household,161.5552,1998,,Tier 3,Grocery Store,NCZ54OUT010,324.9104
6.67,Regular,0.150554711,Snack Foods,130.0626,1998,,Tier 3,Grocery Store,FDE10OUT010,131.1626
6.11,Regular,0,Fruits and Vegetables,131.2968,1998,,Tier 3,Grocery Store,FDR44OUT010,260.9936
13.65,Regular,0.134975628,Frozen Foods,260.0936,1998,,Tier 3,Grocery Store,FDP28OUT010,260.9936
17.2,Low Fat,0.15616879,Meat,160.6578,1987,High,Tier 3,Supermarket Type1,FDX15OUT013,3690.5294
6.32,LF,0,Meat,40.2822,2004,Small,Tier 2,Supermarket Type1,FDA39OUT035,1139.1838
4.88,Regular,0.133700752,Baking Goods,52.9298,1999,Medium,Tier 1,Supermarket Type1,FDY24OUT049,1995.4026
5.425,Regular,0.115119905,Baking Goods,88.3514,2007,,Tier 2,Supermarket Type1,FDC60OUT017,1416.8224
15.85,Regular,0.110030997,Frozen Foods,37.2506,1997,Small,Tier 1,Supermarket Type1,FDH28OUT046,265.6542
7.5,Low Fat,0.051038045,Canned,121.7072,2007,,Tier 2,Supermarket Type1,FDT25OUT017,3552.7088
12.65,Low Fat,0.062837968,Soft Drinks,161.5578,1987,High,Tier 3,Supermarket Type1,DRJ13OUT013,2406.867
,Low Fat,0.017116983,Others,211.956,1985,Small,Tier 1,Grocery Store,NCO07OUT019,213.056
20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,1987,High,Tier 3,Supermarket Type1,FDW20OUT013,2956.152
,Low Fat,0.049754975,Dairy,152.134,1985,Small,Tier 1,Grocery Store,DRF27OUT019,153.134
9,Low Fat,0,Canned,79.7644,2004,Small,Tier 2,Supermarket Type1,FDS49OUT035,1649.8524
